epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
166,3666.17,0.99013,0.67324,0.87766,0.89406,0.82105,0.88669,0.60157,1.06535,0.5827,0.92396,0.006733,0.006733,0.006733
167,3687.65,1.01742,0.67017,0.87348,0.86234,0.79915,0.87364,0.60094,1.04818,0.59363,0.91609,0.0067132,0.0067132,0.0067132
168,3709.71,0.9803,0.66076,0.87387,0.82967,0.83341,0.87908,0.6088,1.06749,0.60686,0.92106,0.0066934,0.0066934,0.0066934
169,3731.37,0.96182,0.67317,0.87385,0.84382,0.84729,0.87971,0.60198,1.09253,0.60848,0.92588,0.0066736,0.0066736,0.0066736
170,3752.81,0.98974,0.66457,0.87037,0.87218,0.80294,0.88478,0.60251,1.0802,0.59575,0.92319,0.0066538,0.0066538,0.0066538
171,3774.73,0.97827,0.63946,0.86807,0.85386,0.81193,0.87719,0.59781,1.06093,0.60549,0.91946,0.006634,0.006634,0.006634
172,3796.25,0.98722,0.67966,0.87379,0.88398,0.78772,0.87145,0.58729,1.07683,0.61179,0.92598,0.0066142,0.0066142,0.0066142
173,3817.89,0.962,0.64618,0.86683,0.8968,0.79997,0.89022,0.60532,1.03757,0.5996,0.91405,0.0065944,0.0065944,0.0065944
174,3839.87,0.98052,0.67724,0.86822,0.87593,0.80811,0.89454,0.61686,1.04464,0.62221,0.91478,0.0065746,0.0065746,0.0065746
175,3861.93,0.97808,0.64493,0.87376,0.84275,0.83563,0.8763,0.59178,1.07893,0.6253,0.92666,0.0065548,0.0065548,0.0065548
176,3883.79,0.96233,0.62389,0.86667,0.82661,0.83125,0.87954,0.61021,1.08046,0.61526,0.92529,0.006535,0.006535,0.006535
177,3906.51,0.99282,0.66915,0.86927,0.89167,0.77581,0.87159,0.60368,1.08833,0.63343,0.92837,0.0065152,0.0065152,0.0065152
178,3928.04,0.96331,0.6307,0.87342,0.85182,0.81322,0.87775,0.60487,1.09075,0.60821,0.93465,0.0064954,0.0064954,0.0064954
